ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,MUNICIPIO,ASSENTAMEN
degradacao,"8","2010",Modis,PA,0.88,Sapucaia,PA JOAO CANUTO II
degradacao,"10","2017",Sentinel-1-2,PA,7.76,Sapucaia,PA JOAO CANUTO II
degradacao,"10","2017",Sentinel-1-2,PA,0.74,Xinguara,PA JOAO CANUTO II
degradacao,"5","2011",Modis,PA,0.12,Sapucaia,PA JOAO CANUTO II
degradacao,"8","2010",Modis,PA,0.32,Sapucaia,PA JOAO CANUTO II
degradacao,"8","2010",Modis,PA,0.23,Sapucaia,PA JOAO CANUTO II
degradacao,"10","2017",Sentinel-1-2,PA,0.01,Xinguara,PA JOAO CANUTO II
degradacao,"6","2016",Modis,PA,0.01,Uruará,PDS SANTA CLARA
degradacao,"7","2018",Sentinel-1-2,PA,5.88,Uruará,PDS SANTA CLARA
degradacao,"7","2020",Sentinel-1-2,PA,0.03,Uruará,PDS SANTA CLARA
degradacao,"12","2019",Sentinel-1-2,PA,0.02,Uruará,PDS SANTA CLARA
degradacao,"12","2019",Sentinel-1-2,PA,0.03,Uruará,PDS SANTA CLARA
degradacao,"6","2019",Sentinel-1-2,RR,0.08,Cantá,PA RR-170
degradacao,"6","2019",Sentinel-1-2,RR,0.03,Cantá,PA RR-170
degradacao,"2","2012",Modis,RR,0.25,Caracaraí,PA RR-170
degradacao,"10","2020",Sentinel-1-2,PA,0.02,Placas,PA MACANÃ I
degradacao,"10","2020",Sentinel-1-2,PA,0.02,Placas,PA MACANÃ I
degradacao,"10","2020",Sentinel-1-2,PA,0.03,Placas,PA MACANÃ I
degradacao,"9","2019",Sentinel-1-2,PA,0.02,Placas,PA MACANÃ I
degradacao,"9","2019",Sentinel-1-2,PA,0.06,Placas,PA MACANÃ I
degradacao,"4","2016",Modis,PA,0.64,Rondon do Pará,PA IRMÃ DOROTY
degradacao,"5","2018",Sentinel-1-2,PA,1.15,Rondon do Pará,PA IRMÃ DOROTY
degradacao,"12","2020",Sentinel-1-2,PA,0.10,Rondon do Pará,PA IRMÃ DOROTY
degradacao,"12","2020",Sentinel-1-2,PA,0.02,Rondon do Pará,PA IRMÃ DOROTY
degradacao,"11","2020",Sentinel-1-2,PA,0.06,Rondon do Pará,PA IRMÃ DOROTY
degradacao,"4","2016",Modis,PA,1.39,Tomé-Açu,PA TROPICÁLIA
degradacao,"4","2016",Modis,PA,0.18,Tomé-Açu,PA TROPICÁLIA
degradacao,"11","2012",Modis,PA,0.69,Tomé-Açu,PA TROPICÁLIA
degradacao,"6","2013",Modis,PA,0.14,Tomé-Açu,PA TROPICÁLIA
degradacao,"6","2013",Modis,PA,0.18,Tomé-Açu,PA TROPICÁLIA
degradacao,"6","2013",Modis,PA,1.06,Tomé-Açu,PA TROPICÁLIA
degradacao,"6","2013",Modis,PA,0.75,Tomé-Açu,PA TROPICÁLIA
degradacao,"6","2013",Modis,PA,1.22,Tomé-Açu,PA TROPICÁLIA
degradacao,"10","2020",Sentinel-1-2,PA,0.04,Tomé-Açu,PA TROPICÁLIA
