ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2
degradacao,"11","2022",Sentinel-2,PA,0.11
degradacao,"11","2022",Sentinel-2,MT,0.11
degradacao,"11","2022",Sentinel-2,MT,0.11
degradacao,"11","2022",Sentinel-2,PA,0.11
degradacao,"11","2022",Sentinel-2,RO,0.11
degradacao,"11","2022",Sentinel-2,AM,0.11
degradacao,"11","2022",Sentinel-2,MT,0.11
degradacao,"11","2022",Sentinel-2,MT,0.11
degradacao,"11","2022",Sentinel-2,AC,0.11
degradacao,"11","2022",Sentinel-2,RO,0.11
degradacao,"11","2022",Sentinel-2,AM,0.10
degradacao,"11","2022",Sentinel-2,AM,0.10
degradacao,"11","2022",Sentinel-2,MT,0.10
degradacao,"11","2022",Sentinel-2,PA,0.10
degradacao,"11","2022",Sentinel-2,AM,0.10
degradacao,"11","2022",Sentinel-2,PA,0.10
degradacao,"11","2022",Sentinel-2,PA,0.10
degradacao,"11","2022",Sentinel-2,AC,0.10
degradacao,"11","2022",Sentinel-2,AM,0.10
degradacao,"11","2022",Sentinel-2,MT,0.10
degradacao,"11","2022",Sentinel-2,RO,0.10
degradacao,"11","2022",Sentinel-2,RO,0.10
