sigla_uf,area_ha,categoria,ano,name,sub_class,nome,geocodigo
PA,164.53604938,não autorizada,2007,PAE CURUÁ II,ARU,Prainha,1506005
PA,248.003629623,autorizada,2007,PA PARAÍSO DO NORTE,ARU,Medicilândia,1504455
PA,248.231125491,não autorizada,2007,PA PARAÍSO DO NORTE,ARU,Medicilândia,1504455
PA,145.122074749,autorizada,2007,PA PARAÍSO DO NORTE,ARU,Medicilândia,1504455
PA,140.375282105,não autorizada,2007,PA PARAÍSO DO NORTE,ARU,Medicilândia,1504455
PA,16.4441955393,autorizada,2007,PA PARAÍSO DO NORTE,ARU,Medicilândia,1504455
PA,14.7581744913,não autorizada,2007,PA PARAÍSO DO NORTE,ARU,Medicilândia,1504455
PA,16.4441955393,autorizada,2007,PDS ADEMIR FREDERICCE,COM,Medicilândia,1504455
PA,14.7581744913,não autorizada,2007,PDS ADEMIR FREDERICCE,COM,Medicilândia,1504455
PA,51.2328127835,autorizada,2007,PA ZUMBI DOS PALMARES,ARU,Pacajá,1505486
PA,51.8039605978,não autorizada,2007,PA ZUMBI DOS PALMARES,ARU,Pacajá,1505486
PA,101.491110022,não autorizada,2017,PA SALVADOR ALLENDE PIRATININGA,ARU,Baião,1501204
PA,108.567217659,não autorizada,2012,PA SALVADOR ALLENDE PIRATININGA,ARU,Baião,1501204
PA,119.558221085,não autorizada,2017,PDS LIBERDADE I,COM,Portel,1505809
PA,5151.73426532,não autorizada,2008,PDS LIBERDADE I,COM,Portel,1505809
PA,54.3655198274,não autorizada,2017,PDS LIBERDADE I,COM,Portel,1505809
PA,5151.73426532,não autorizada,2008,PDS LIBERDADE I,COM,Portel,1505809
PA,46.5946885566,não autorizada,2017,PDS LIBERDADE I,COM,Portel,1505809
PA,125.660723106,não autorizada,2016,PDS LIBERDADE I,COM,Portel,1505809
PA,75.5502855517,não autorizada,2017,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,1534.41476086,não autorizada,2007,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,30.6351824457,não autorizada,2017,PDS ADEMIR FREDERICCE,COM,Medicilândia,1504455
PA,33.2781452208,não autorizada,2011,PDS ADEMIR FREDERICCE,COM,Medicilândia,1504455
PA,8.91710840392,não autorizada,2017,PDS ADEMIR FREDERICCE,COM,Medicilândia,1504455
PA,33.2781452208,não autorizada,2011,PDS ADEMIR FREDERICCE,COM,Medicilândia,1504455
PA,34.9425769844,não autorizada,2017,PAC SÃO SEBASTIÃO DO TUTUÍ,ARU,Uruará,1508159
PA,34.9425769844,não autorizada,2017,PDS OURO BRANCO,COM,Uruará,1508159
PA,40.5860326471,não autorizada,2017,PAC SÃO SEBASTIÃO DO TUTUÍ,ARU,Uruará,1508159
PA,136.364403602,,2020,PAC SÃO SEBASTIÃO DO TUTUÍ,ARU,Uruará,1508159
PA,10.3601316026,não autorizada,2017,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,36.3085621468,não autorizada,2010,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,16.6250739506,não autorizada,2017,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,239.10189653,não autorizada,2009,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,8.94492068038,não autorizada,2017,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,239.10189653,não autorizada,2009,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,130.22496976,não autorizada,2017,PDS OURO BRANCO,COM,Uruará,1508159
PA,41.7159709688,não autorizada,2008,PDS OURO BRANCO,COM,Uruará,1508159
PA,130.22496976,não autorizada,2017,PDS OURO BRANCO,COM,Uruará,1508159
PA,146.045193253,não autorizada,2010,PDS OURO BRANCO,COM,Uruará,1508159
PA,130.22496976,não autorizada,2017,PDS OURO BRANCO,COM,Uruará,1508159
PA,95.9764171102,não autorizada,2011,PDS OURO BRANCO,COM,Uruará,1508159
PA,30.449034469,não autorizada,2017,PDS OURO BRANCO,COM,Uruará,1508159
PA,146.045193253,não autorizada,2010,PDS OURO BRANCO,COM,Uruará,1508159
PA,26.4115115764,não autorizada,2017,PDS TABOARI,COM,Trairão,1508050
PA,18.8353600537,não autorizada,2016,PDS TABOARI,COM,Trairão,1508050
PA,39.8780828946,não autorizada,2017,PA CAMPO VERDE,ARU,Placas,1505650
PA,190.604143162,não autorizada,2008,PA CAMPO VERDE,ARU,Placas,1505650
PA,164.499715736,não autorizada,2007,PA MOJU I E II,ARU,Placas,1505650
PA,27.3112405111,não autorizada,2023,PA MOJU I E II,ARU,Placas,1505650
PA,58.8302565351,não autorizada,2007,PA MOJU I E II,ARU,Placas,1505650
PA,48.0268187602,não autorizada,2008,PA MOJU I E II,ARU,Placas,1505650
PA,53.6842576313,não autorizada,2007,PA CORTA CORDA,ARU,Santarém,1506807
PA,1483.51120706,não autorizada,2008,PA CORTA CORDA,ARU,Santarém,1506807
PA,107.768251986,não autorizada,2007,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,1534.41476086,não autorizada,2007,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,15.5242957832,não autorizada,2007,PA CURUÁ-UNA,ARU,Placas,1505650
PA,11.4310957642,não autorizada,2008,PA CURUÁ-UNA,ARU,Placas,1505650
PA,1534.41476086,não autorizada,2007,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,12.0372636912,não autorizada,2009,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,1534.41476086,não autorizada,2007,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,55.0421401355,não autorizada,2023,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,234.328732813,não autorizada,2007,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,459.814063816,não autorizada,2008,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,182.217207549,não autorizada,2007,PAC OURO BRANCO I,ARU,Uruará,1508159
PA,182.217207549,não autorizada,2007,PAC OURO BRANCO II,ARU,Uruará,1508159
PA,182.217207549,não autorizada,2007,PAC OURO BRANCO I,ARU,Uruará,1508159
